facility_id,FRS ID,fac_name,st_address,city,county,state,zipcode,lat,long,datum,industry,total_release
0833WCMBRL41EAS,1.10E+11,CUMBERLAND ENERGY CENTER,4001 EAST MAIN STREET,MILLVILLE,CUMBERLAND,NJ,8332,39.3754,-74.9654,NAD83,Electric Utilities,0
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,192217
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,100
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Primary Metals,4704.6
07059NDGCS141MT,1.10E+11,II-VI OPTOELECTRONIC DEVICES INC.,141 MOUNT BETHEL RD,WARREN,SOMERSET,NJ,7059,40.63392,-74.5044,NAD83,Computers and Electronic Products,2566
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,13
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,264427.72
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,11
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,0
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,254.05
07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,40.564611,-74.429638,NAD83,Chemicals,1015.2
07029KRNYS936HA,1.10E+11,KEARNY SMELTING & REFINING CORP,936 HARRISON AVE,KEARNY,HUDSON,NJ,7032,40.751622,-74.140109,NAD83,Primary Metals,0
07029KRNYS936HA,1.10E+11,KEARNY SMELTING & REFINING CORP,936 HARRISON AVE,KEARNY,HUDSON,NJ,7032,40.751622,-74.140109,NAD83,Primary Metals,36
07029KRNYS936HA,1.10E+11,KEARNY SMELTING & REFINING CORP,936 HARRISON AVE,KEARNY,HUDSON,NJ,7032,40.751622,-74.140109,NAD83,Primary Metals,2
07029KRNYS936HA,1.10E+11,KEARNY SMELTING & REFINING CORP,936 HARRISON AVE,KEARNY,HUDSON,NJ,7032,40.751622,-74.140109,NAD83,Primary Metals,0
0887WVCNST394EL,1.10E+11,VEECO INSTRUMENTS,394 ELIZABETH AVE.,SOMERSET,SOMERSET,NJ,8873,40.537574,-74.537171,NAD83,Computers and Electronic Products,10488
07740WHLCK273BR,1.10E+11,COOPER WHEELOCK INC,273 BRANCHPORT AVE,LONG BRANCH,MONMOUTH,NJ,7740,40.308425,-74.004513,NAD83,Computers and Electronic Products,0.3
07936SNDZP59ROU,1.10E+11,NOVARTIS PHARMACEUTICALS CORP,59 ROUTE 10,EAST HANOVER,MORRIS,NJ,7936,40.810223,-74.392803,NAD83,Chemicals,83.4
0747WMNSXX6DEMA,1.10E+11,MANE USA,60 DEMAREST DR,WAYNE,PASSAIC,NJ,7470,40.9047,-74.26324,NAD83,Chemicals,0
07030SCSTN725JE,1.10E+11,U.S. CASTINGS CORP,4407 PARK AVE,UNION CITY,HUDSON,NJ,7087,40.77732,-74.0193,NAD83,Miscellaneous Manufacturing,20
07643SCNTF49IND,1.10E+11,SCIENTIFIC DESIGN CO INC,49 IND US TRIAL AVE,LITTLE FERRY,BERGEN,NJ,7643,40.845693,-74.035825,NAD83,Chemicals,628
07643SCNTF49IND,1.10E+11,SCIENTIFIC DESIGN CO INC,49 IND US TRIAL AVE,LITTLE FERRY,BERGEN,NJ,7643,40.845693,-74.035825,NAD83,Chemicals,0
08320SBRFPFAIRT,1.10E+11,US BUREAU OF PRISONS FEDERAL CORRECTIONAL INSTITUTION,655 FAIRTON MILLVILLE RD,FAIRTON,CUMBERLAND,NJ,8320,39.38954,-75.15985,NAD83,Other,901.54
08876DVRNCSOUTH,1.10E+11,VISCOFAN COLLAGEN USA INC.,141 SOUTHSIDE AVE,BRIDGEWATER,SOMERSET,NJ,8807,40.562403,-74.604058,NAD83,Food,25123.2
07840NDRXN101BI,1.10E+11,ANDREX,101 BILBY RD SUITE E,HACKETTSTOWN,WARREN,NJ,7840,40.87103,-74.82127,NAD83,Fabricated Metals,0
0887WGLXXX2RSEV,1.10E+11,AGILEX FLAVORS & FRAGRANCES,20 ROOSEVELT AVE,SOMERSET,SOMERSET,NJ,8873,40.48325,-74.51048,NAD83,Chemicals,0
08810CRYCM5NICH,1.10E+11,CARY COMPOUNDS LLC,5 NICHOLAS CT,DAYTON,MIDDLESEX,NJ,8810,40.37031,-74.47524,NAD83,Chemicals,3.35
08810CRYCM5NICH,1.10E+11,CARY COMPOUNDS LLC,5 NICHOLAS CT,DAYTON,MIDDLESEX,NJ,8810,40.37031,-74.47524,NAD83,Chemicals,27.02
08810CRYCM5NICH,1.10E+11,CARY COMPOUNDS LLC,5 NICHOLAS CT,DAYTON,MIDDLESEX,NJ,8810,40.37031,-74.47524,NAD83,Chemicals,5.92
08810CRYCM5NICH,1.10E+11,CARY COMPOUNDS LLC,5 NICHOLAS CT,DAYTON,MIDDLESEX,NJ,8810,40.37031,-74.47524,NAD83,Chemicals,650.21
08810CRYCM5NICH,1.10E+11,CARY COMPOUNDS LLC,5 NICHOLAS CT,DAYTON,MIDDLESEX,NJ,8810,40.37031,-74.47524,NAD83,Chemicals,443.25
08810CRYCM5NICH,1.10E+11,CARY COMPOUNDS LLC,5 NICHOLAS CT,DAYTON,MIDDLESEX,NJ,8810,40.37031,-74.47524,NAD83,Chemicals,10.34
08865TLNTC183SI,1.10E+11,MCWANE DUCTILE-NEW JERSEY,183 SITGREAVES ST,PHILLIPSBURG,WARREN,NJ,8865,40.684667,-75.186167,NAD83,Primary Metals,26172.77
08865TLNTC183SI,1.10E+11,MCWANE DUCTILE-NEW JERSEY,183 SITGREAVES ST,PHILLIPSBURG,WARREN,NJ,8865,40.684667,-75.186167,NAD83,Primary Metals,626399.366
08865TLNTC183SI,1.10E+11,MCWANE DUCTILE-NEW JERSEY,183 SITGREAVES ST,PHILLIPSBURG,WARREN,NJ,8865,40.684667,-75.186167,NAD83,Primary Metals,11989.26
08352NTLRF661KE,1.10E+11,NATIONAL REFRIGERANTS INC.,661 KENYON AVE,ROSENHAYN,CUMBERLAND,NJ,8352,39.481713,-75.122464,NAD83,Chemical Wholesalers,3300
08352NTLRF661KE,1.10E+11,NATIONAL REFRIGERANTS INC.,661 KENYON AVE,ROSENHAYN,CUMBERLAND,NJ,8352,39.481713,-75.122464,NAD83,Chemical Wholesalers,22830
0710WNWRKF11RAY,1.10E+11,NEWARK FIRING RANGE NJ0016,1100 RAYMOND BLVD,NEWARK,ESSEX,NJ,7102,40.735942,-74.167108,NAD83,Other,0
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,1105
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,1273
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,5
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,20245
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,2.08
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,30
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,11197.14
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,9.38
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,3067
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,471918
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,1565
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,78
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,132425
08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,39.8401,-75.2574,NAD83,Petroleum,111
